timestamp,latency,error_rate,cpu,memory,request_time,latency_anomaly,latency_slope,memory_slope,error_trend,risk_score
2026-01-01 00:09:30,119.89,0.0138,52.14,59.1,1047.6,-0.26,0.4459,1.9778,0.0003,0.009
2026-01-01 00:10:00,128.99,0.0269,46.35,62.74,1029.91,8.43,-1.5559,1.9823,0.0013,0.0616
2026-01-01 00:10:30,116.78,0.0,52.56,63.06,1032.37,-3.62,-2.0966,-0.456,-0.0016,0.0305
2026-01-01 00:11:00,124.8,0.0259,51.11,61.83,1140.65,4.22,3.2017,-1.3531,0.0013,0.0417
2026-01-01 00:11:30,123.18,0.0442,56.23,60.36,1012.86,2.49,-0.4697,-0.4929,0.0022,0.0172
2026-01-01 00:12:00,123.86,0.0145,53.67,60.84,1094.3,3.04,1.7219,-0.8357,0.0007,0.0268
2026-01-01 00:12:30,126.62,0.0,50.32,58.69,1070.1,5.58,-1.6237,-0.0181,0.0,0.0386
2026-01-01 00:13:00,120.61,0.0139,51.4,60.81,1006.34,-0.41,0.573,0.8837,-0.0003,0.0068
2026-01-01 00:13:30,127.77,0.0319,52.51,60.45,1006.99,6.5,2.7266,1.1575,0.0015,0.0524
2026-01-01 00:14:00,126.07,0.0398,53.96,63.12,963.28,4.63,1.3457,0.3334,0.002,0.0329
2026-01-01 00:14:30,130.46,0.0557,51.39,61.12,888.84,8.73,1.3786,-1.2008,0.0028,0.06
2026-01-01 00:15:00,128.83,0.0429,59.36,60.72,1050.23,6.86,-2.1569,2.0587,0.0021,0.0552
2026-01-01 00:15:30,126.15,0.0179,56.28,65.24,950.85,4.05,-3.6054,-0.5904,0.0009,0.0398
2026-01-01 00:16:00,121.61,0.0361,46.6,59.54,1130.58,-0.47,1.4071,-1.6988,0.0012,0.0133
2026-01-01 00:16:30,128.96,0.0783,51.95,61.84,1062.72,6.68,8.4132,1.6434,0.0039,0.0789
2026-01-01 00:17:00,138.44,0.0829,54.14,62.83,1064.44,15.7,-2.2479,-2.0985,0.0041,0.1075
2026-01-01 00:17:30,124.47,0.0485,53.17,57.64,1056.25,1.67,-7.402,-0.1835,0.0024,0.0404
2026-01-01 00:18:00,123.64,0.027,55.66,62.46,1101.77,0.82,3.3954,2.9337,0.0005,0.0279
2026-01-01 00:18:30,131.26,0.0522,52.22,63.51,1135.66,8.22,3.3488,-0.9222,0.0008,0.0643
2026-01-01 00:19:00,130.33,0.0517,51.77,60.61,998.5,7.11,-0.2785,-0.8356,0.0018,0.0447
2026-01-01 00:19:30,130.7,0.0627,55.83,61.84,1136.11,7.29,1.3581,0.1199,0.0024,0.0478
2026-01-01 00:20:00,133.05,0.0421,54.23,60.85,1057.14,9.4,2.6812,-0.0417,0.0008,0.0655
2026-01-01 00:20:30,136.06,0.0902,47.54,61.76,1016.74,12.12,-2.101,0.9095,0.0045,0.0819
2026-01-01 00:21:00,128.85,0.0261,54.13,62.67,1019.8,4.79,-5.7738,-0.8846,0.0,0.0542
2026-01-01 00:21:30,124.51,0.0,51.68,59.99,1023.9,0.45,1.4454,-1.23,-0.0022,0.0118
2026-01-01 00:22:00,131.74,0.0671,53.26,60.21,995.35,7.5,6.7418,0.7688,0.0026,0.0738
2026-01-01 00:22:30,138.0,0.0715,58.85,61.52,1013.87,13.46,0.7947,-0.2425,0.0036,0.0821
2026-01-01 00:23:00,133.33,0.0844,61.37,59.73,1136.9,8.61,-6.0633,-1.1187,0.0035,0.0786
2026-01-01 00:23:30,125.87,0.054,57.3,59.29,1073.9,1.12,0.7098,2.3265,0.0011,0.0164
2026-01-01 00:24:00,134.75,0.0983,60.22,64.38,1042.24,9.8,-4.0291,-0.5757,0.0029,0.0752
2026-01-01 00:24:30,117.81,0.0,56.95,58.14,969.83,-6.99,1.2913,-0.4477,-0.0028,0.0469
2026-01-01 00:25:00,137.33,0.0591,56.57,63.49,1090.95,12.01,4.8492,3.8929,0.0008,0.1027
2026-01-01 00:25:30,127.51,0.0208,56.23,65.92,958.21,2.18,-3.2603,-0.8435,0.0001,0.0283
2026-01-01 00:26:00,130.81,0.1037,53.0,61.8,992.22,5.13,8.0842,-1.9344,0.0034,0.0694
2026-01-01 00:26:30,143.68,0.1095,52.34,62.05,1087.89,17.58,0.4776,0.2993,0.0016,0.1051
2026-01-01 00:27:00,131.77,0.0729,49.12,62.4,1088.77,5.38,-5.3198,1.4772,-0.0005,0.0577
2026-01-01 00:27:30,133.04,0.0272,56.78,65.01,1041.81,6.33,1.9326,0.9561,-0.0011,0.0474
2026-01-01 00:28:00,135.63,0.1063,57.55,64.31,1010.3,8.7,-3.6719,-0.3615,0.004,0.0666
2026-01-01 00:28:30,125.7,0.0255,58.01,64.28,1071.37,-1.34,1.1024,-0.6495,-0.0013,0.0137
2026-01-01 00:29:00,137.84,0.0936,57.37,63.01,1082.92,10.48,3.7472,-0.9231,0.0021,0.0793
2026-01-01 00:29:30,133.19,0.069,57.6,62.44,1093.6,5.54,-4.6282,-0.4797,0.0003,0.0525
2026-01-01 00:30:00,128.58,0.0284,56.81,62.05,1126.46,0.76,-0.0313,-1.1642,-0.0007,0.0075
2026-01-01 00:30:30,133.13,0.0991,54.33,60.11,1029.48,5.09,0.3645,1.7353,0.0004,0.0362
2026-01-01 00:31:00,129.31,0.0271,55.61,65.52,1055.77,1.02,2.9697,2.215,0.0,0.0249
2026-01-01 00:31:30,139.07,0.0909,54.86,64.54,1083.85,10.38,5.2537,-1.1441,0.0045,0.0857
2026-01-01 00:32:00,139.82,0.0779,55.51,63.23,1126.75,10.78,-1.6538,-0.7505,0.0005,0.0716
2026-01-01 00:32:30,135.76,0.0896,52.93,63.04,1093.02,6.3,1.6915,0.7731,0.0009,0.0456
2026-01-01 00:33:00,143.2,0.074,53.53,64.78,1095.99,13.28,0.7139,0.4077,-0.0005,0.0812
2026-01-01 00:33:30,137.19,0.0755,59.42,63.85,1080.53,7.03,-6.6887,-1.3745,0.0011,0.0728
2026-01-01 00:34:00,129.82,0.034,55.05,62.03,982.54,-0.37,3.6279,0.1457,-0.0032,0.0169
2026-01-01 00:34:30,144.44,0.1212,59.79,64.15,1131.35,13.76,4.1116,1.3395,0.0061,0.1014
2026-01-01 00:35:00,138.04,0.0816,57.04,64.71,1137.68,7.18,-0.6546,-0.2827,0.0011,0.0448
2026-01-01 00:35:30,143.14,0.0841,56.31,63.58,1067.26,11.74,0.9875,0.7879,0.0032,0.0746
2026-01-01 00:36:00,140.02,0.0944,55.81,66.29,1088.42,8.32,-4.7369,-1.8573,-0.0005,0.0738
2026-01-01 00:36:30,133.66,0.0605,58.99,59.87,1190.59,1.75,1.2742,-2.7288,-0.0025,0.0238
2026-01-01 00:37:00,142.57,0.1184,56.86,60.83,1065.98,10.29,4.7217,1.1744,0.0023,0.083
2026-01-01 00:37:30,143.1,0.1408,53.89,62.21,1109.22,10.49,-3.1349,2.3078,0.0057,0.0814
2026-01-01 00:38:00,136.3,0.0887,49.93,65.44,1057.14,3.37,-3.5433,-0.6714,-0.0009,0.0359
2026-01-01 00:38:30,136.02,0.0527,55.13,60.87,1074.24,2.93,1.1079,-1.142,0.0014,0.0246
2026-01-01 00:39:00,138.51,0.1105,55.38,63.16,1097.41,5.17,-0.8828,0.6084,0.0008,0.0351
2026-01-01 00:39:30,134.25,0.0502,53.8,62.09,1103.69,0.84,-1.0264,-0.9594,-0.0009,0.0114
2026-01-01 00:40:00,136.46,0.0711,57.23,61.24,1078.28,2.89,0.7727,0.9477,0.0021,0.0224
2026-01-01 00:40:30,135.8,0.0487,58.15,63.98,1182.53,2.04,8.927,2.2726,-0.0025,0.0559
2026-01-01 00:41:00,154.32,0.1816,59.47,65.79,1184.7,19.9,0.8198,-1.301,0.0077,0.1235
2026-01-01 00:41:30,137.44,0.1116,52.23,61.38,1080.62,2.85,-9.8412,0.0836,0.001,0.0572
2026-01-01 00:42:00,134.63,0.0679,55.79,65.95,1145.79,0.12,0.0761,1.7505,-0.0005,0.0059
2026-01-01 00:42:30,137.59,0.0646,60.49,64.88,1046.69,2.82,4.3919,-1.7924,-0.0012,0.0399
2026-01-01 00:43:00,143.42,0.1141,56.14,62.37,1145.72,8.25,3.5653,0.4078,0.002,0.0637
2026-01-01 00:43:30,144.72,0.1361,54.61,65.7,1163.42,9.28,0.9583,1.0362,0.003,0.0609
2026-01-01 00:44:00,145.33,0.1341,62.84,64.44,1056.15,9.6,-2.6831,0.7609,0.005,0.0691
2026-01-01 00:44:30,139.35,0.1033,63.79,67.22,1112.68,3.44,-0.5638,-0.2614,-0.0009,0.0224
2026-01-01 00:45:00,144.21,0.1059,61.39,63.92,1142.85,8.07,1.8337,-1.8882,0.0012,0.0603
2026-01-01 00:45:30,143.02,0.0875,54.8,63.44,1081.46,6.75,2.1487,0.1441,0.0002,0.0481
2026-01-01 00:46:00,148.5,0.168,61.05,64.21,1109.9,11.84,-0.3733,-0.5285,0.0037,0.0717
2026-01-01 00:46:30,142.28,0.1273,55.97,62.39,1121.27,5.26,-4.9577,-0.129,0.0033,0.051
2026-01-01 00:47:00,138.59,0.0945,51.57,63.95,1149.6,1.43,-1.6804,0.3894,-0.0012,0.0157
2026-01-01 00:47:30,138.91,0.0772,59.32,63.17,1068.38,1.74,5.1333,1.7032,-0.0032,0.0364
2026-01-01 00:48:00,148.85,0.122,56.2,67.35,1135.14,11.37,1.6749,-0.7912,0.0017,0.0753
2026-01-01 00:48:30,142.26,0.0792,54.06,61.58,1073.64,4.45,0.3867,-2.507,0.0013,0.0351
2026-01-01 00:49:00,149.63,0.1557,65.53,62.34,1093.06,11.52,-2.3106,0.2581,0.0023,0.0771
2026-01-01 00:49:30,137.64,0.0658,53.26,62.1,1061.39,-0.86,-0.3576,0.7652,0.0008,0.0081
2026-01-01 00:50:00,148.91,0.166,55.69,63.87,1128.61,10.17,1.6438,0.5209,0.0047,0.0673
2026-01-01 00:50:30,140.93,0.1119,62.85,63.14,1084.68,1.92,-3.393,-1.4852,0.0032,0.0295
2026-01-01 00:51:00,142.13,0.0791,59.34,60.9,1156.8,2.89,3.1744,2.0118,-0.0051,0.036
2026-01-01 00:51:30,147.28,0.1102,63.54,67.17,1201.44,7.97,7.0237,2.0529,-0.0001,0.082
2026-01-01 00:52:00,156.17,0.2035,62.65,65.01,1174.58,16.38,-4.02,-2.4791,0.0068,0.1202
2026-01-01 00:52:30,139.24,0.0865,58.22,62.21,1158.35,-0.68,-7.0508,0.2675,0.0011,0.0334
2026-01-01 00:53:00,142.07,0.0961,55.24,65.54,1165.99,2.03,-1.4621,-0.0535,-0.0009,0.0172
2026-01-01 00:53:30,136.32,0.0657,66.34,62.1,1156.87,-3.94,3.4221,-0.4329,-0.0035,0.0379
2026-01-01 00:54:00,148.92,0.1621,62.36,64.68,1070.43,8.44,8.6541,0.9181,0.0014,0.0878
2026-01-01 00:54:30,153.62,0.2028,56.71,63.94,1178.71,12.73,-5.4013,-1.0791,0.005,0.0999
2026-01-01 00:55:00,138.11,0.1113,62.45,62.52,1186.69,-2.97,-5.5733,1.1874,0.0003,0.0437
2026-01-01 00:55:30,142.48,0.1083,54.3,66.31,1075.59,1.21,5.9853,0.612,0.001,0.0332
2026-01-01 00:56:00,150.08,0.1446,64.07,63.74,1165.64,8.4,5.0417,-0.1327,-0.0012,0.0698
2026-01-01 00:56:30,152.56,0.1763,64.19,66.05,1191.62,10.61,0.1142,-0.3189,0.0025,0.0627
2026-01-01 00:57:00,150.31,0.1298,68.72,63.1,1151.14,8.15,-3.4505,-1.576,0.0018,0.0665
2026-01-01 00:57:30,145.66,0.1496,62.87,62.89,1115.83,3.3,-1.1271,1.0596,0.0036,0.0266
2026-01-01 00:58:00,148.06,0.1307,56.22,65.22,1075.43,5.6,-1.3579,-0.2374,0.0004,0.0383
2026-01-01 00:58:30,142.94,0.1207,63.39,62.42,1185.26,0.37,1.1733,-0.5483,0.0021,0.0079
2026-01-01 00:59:00,150.41,0.1528,64.65,64.13,1185.52,7.42,4.0057,2.9614,-0.0001,0.0692
2026-01-01 00:59:30,150.95,0.1557,63.75,68.34,1096.07,7.84,2.3916,-1.0927,0.0045,0.0586
2026-01-01 01:00:00,155.19,0.1711,58.18,61.94,1106.78,11.73,-1.108,-3.0506,0.0003,0.0826
2026-01-01 01:00:30,148.74,0.1172,60.69,62.24,1147.35,5.17,-0.5809,2.0638,0.0003,0.0387
2026-01-01 01:01:00,154.03,0.1311,65.9,66.07,1106.05,10.18,6.9365,1.3339,0.0026,0.0922
2026-01-01 01:01:30,162.61,0.2231,63.69,64.91,1141.88,18.18,-7.6814,1.2577,0.0056,0.142
2026-01-01 01:02:00,138.66,0.0968,56.98,68.58,1161.02,-5.69,-3.4049,-1.4988,-0.0053,0.0516
2026-01-01 01:02:30,155.8,0.187,57.17,61.91,1076.27,11.2,5.1108,-0.7731,0.005,0.0886
2026-01-01 01:03:00,148.89,0.1403,64.35,67.04,1165.18,4.03,-6.0624,2.346,0.0022,0.0559
2026-01-01 01:03:30,143.68,0.103,60.98,66.6,1185.95,-1.33,-0.2033,-0.4143,0.0019,0.0091
2026-01-01 01:04:00,148.48,0.1395,60.4,66.21,1243.81,3.27,0.9632,-1.3483,-0.0011,0.0267
2026-01-01 01:04:30,145.6,0.1524,62.35,63.91,1110.33,0.17,1.8834,-1.7092,-0.0025,0.0136
2026-01-01 01:05:00,152.25,0.1313,63.62,62.79,1092.88,6.49,1.4071,3.0652,0.001,0.0532
2026-01-01 01:05:30,148.42,0.1154,60.33,70.04,1076.19,2.41,2.4749,1.1495,0.0004,0.0274
2026-01-01 01:06:00,157.2,0.2188,66.58,65.09,1170.63,11.13,5.1509,-3.7506,0.0037,0.0984
2026-01-01 01:06:30,158.72,0.1882,67.97,62.54,1125.5,12.23,2.3498,-0.8439,0.0006,0.0834
2026-01-01 01:07:00,161.9,0.2259,64.42,63.4,1149.31,14.86,-4.703,3.1045,0.0048,0.1162
2026-01-01 01:07:30,149.31,0.1675,64.42,68.74,1132.08,2.05,-4.9565,-0.1614,0.0009,0.0323
2026-01-01 01:08:00,151.98,0.1645,59.74,63.08,1141.61,4.54,-1.5282,1.2523,0.0017,0.0362
2026-01-01 01:08:30,146.26,0.163,66.41,71.25,1238.08,-1.21,-1.4915,0.8525,0.0021,0.0152
2026-01-01 01:09:00,149.0,0.1156,61.04,64.78,1189.49,1.46,1.7491,-2.9624,-0.0019,0.0248
2026-01-01 01:09:30,149.76,0.1721,64.77,65.32,1231.12,2.0,4.3182,1.2191,0.0008,0.0329
2026-01-01 01:10:00,157.64,0.2016,58.57,67.22,1222.26,9.62,4.9056,0.6353,0.0015,0.078
2026-01-01 01:10:30,159.57,0.1728,61.62,66.59,1176.78,11.22,-2.7476,-2.3884,0.0028,0.0843
2026-01-01 01:11:00,152.14,0.1782,55.43,62.45,1116.48,3.72,-3.1026,0.1254,0.0024,0.0342
2026-01-01 01:11:30,153.36,0.1598,65.56,66.85,1174.63,4.72,2.6166,2.7565,-0.0032,0.0469
2026-01-01 01:12:00,157.37,0.2164,64.53,67.96,1218.48,8.35,-3.1451,-0.5048,0.006,0.0629
2026-01-01 01:12:30,147.07,0.132,64.57,65.84,1098.91,-2.11,0.2793,1.049,-0.0028,0.0161
2026-01-01 01:13:00,157.93,0.2021,60.24,70.06,1164.49,8.57,4.6831,-0.0929,0.0031,0.0692
2026-01-01 01:13:30,156.44,0.2178,62.03,65.65,1220.21,6.79,1.4302,-3.0686,0.0057,0.0551
2026-01-01 01:14:00,160.79,0.1945,61.17,63.92,1227.62,10.92,2.2054,-1.7023,0.0027,0.078
2026-01-01 01:14:30,160.85,0.207,62.19,62.25,1170.08,10.51,-3.723,1.3289,0.0027,0.0807
2026-01-01 01:15:00,153.35,0.1899,61.09,66.58,1195.43,2.92,-3.0841,3.0757,0.0029,0.0394
2026-01-01 01:15:30,154.68,0.1546,63.35,68.4,1068.11,3.98,-1.9861,0.8737,0.002,0.0336
2026-01-01 01:16:00,149.37,0.1197,64.03,68.32,1182.19,-1.47,-2.0441,0.0324,-0.005,0.0163
2026-01-01 01:16:30,150.59,0.1746,63.4,68.46,1160.8,-0.32,0.1212,-0.4201,-0.0007,0.0028
2026-01-01 01:17:00,149.62,0.1706,63.64,67.48,1130.96,-1.16,0.7753,-1.2968,-0.0028,0.0134
2026-01-01 01:17:30,152.14,0.2206,68.76,65.87,1224.14,1.1,4.2578,-0.0956,0.0027,0.0236
2026-01-01 01:18:00,158.13,0.1574,60.98,67.29,1136.36,6.77,-1.7716,-2.7322,-0.0004,0.0553
2026-01-01 01:18:30,148.6,0.1536,66.37,60.4,1183.76,-3.01,-2.0775,-0.4138,-0.0005,0.0267
2026-01-01 01:19:00,153.98,0.1561,58.32,66.47,1144.76,2.27,3.7297,2.2942,0.002,0.0356
2026-01-01 01:19:30,156.06,0.2297,70.78,64.99,1136.11,4.3,1.7544,-0.9122,0.0029,0.0346
2026-01-01 01:20:00,157.49,0.2089,63.7,64.64,1160.9,5.34,-1.2007,0.1716,0.0004,0.0359
2026-01-01 01:20:30,153.66,0.1675,60.45,65.34,1243.76,1.29,5.2212,1.5623,-0.0003,0.0337
2026-01-01 01:21:00,167.93,0.2467,63.96,67.77,1222.32,15.21,-3.48,1.7909,0.0034,0.1087
2026-01-01 01:21:30,146.7,0.1375,68.02,68.92,1200.15,-5.91,-2.9828,0.186,-0.0011,0.0468
2026-01-01 01:22:00,161.96,0.1786,65.2,68.14,1091.55,9.13,5.6413,-0.4726,-0.0019,0.0777
2026-01-01 01:22:30,157.98,0.2021,65.62,67.97,1158.42,4.9,-3.5258,-1.1466,0.0035,0.0463
2026-01-01 01:23:00,154.91,0.1381,67.84,65.84,1147.34,1.69,-2.1035,-2.2352,-0.0032,0.0252
2026-01-01 01:23:30,153.77,0.1962,65.44,63.5,1216.28,0.33,2.2194,-0.3769,-0.0011,0.0115
2026-01-01 01:24:00,159.35,0.1732,70.89,65.09,1167.62,5.73,1.7755,2.5141,-0.0011,0.0485
2026-01-01 01:24:30,157.32,0.1951,63.1,68.53,1224.29,3.58,-1.1367,0.7139,-0.0006,0.0271
2026-01-01 01:25:00,157.08,0.1497,66.6,66.52,1119.21,3.29,1.8039,-1.9576,-0.002,0.0324
2026-01-01 01:25:30,160.93,0.2256,61.0,64.61,1156.12,6.91,0.4394,1.5201,0.0036,0.0464
2026-01-01 01:26:00,157.96,0.1759,68.42,69.56,1272.56,3.85,-3.628,0.9558,0.0028,0.04
2026-01-01 01:26:30,153.68,0.1978,69.54,66.53,1210.57,-0.25,0.0544,-0.8755,0.0012,0.0036
2026-01-01 01:27:00,158.06,0.2075,68.48,67.81,1232.07,3.75,3.8464,1.6518,0.0018,0.0426
2026-01-01 01:27:30,161.37,0.2171,68.33,69.83,1266.62,6.94,1.4116,-0.6403,-0.0002,0.0478
2026-01-01 01:28:00,160.89,0.2453,67.98,66.53,1171.55,6.22,0.3455,-0.8342,0.0044,0.0397
2026-01-01 01:28:30,162.06,0.258,65.05,68.16,1239.92,7.03,-0.6589,1.1436,0.0052,0.0468
2026-01-01 01:29:00,159.57,0.1741,67.69,68.81,1163.66,4.32,-6.3247,-0.4956,0.0009,0.0524
2026-01-01 01:29:30,149.41,0.1383,59.55,67.17,1121.18,-5.92,-5.3759,-0.4374,-0.0046,0.0577
2026-01-01 01:30:00,148.82,0.1308,70.54,67.94,1230.85,-6.44,5.7871,-0.6633,-0.0039,0.0632
2026-01-01 01:30:30,160.98,0.2228,66.08,65.84,1278.59,5.47,5.8046,0.6547,0.0028,0.0576
2026-01-01 01:31:00,160.43,0.2093,64.88,69.25,1256.94,4.85,0.3805,1.3804,-0.0019,0.0337
2026-01-01 01:31:30,161.74,0.2011,67.33,68.6,1346.37,6.11,-4.991,0.0696,0.0032,0.0559
2026-01-01 01:32:00,150.45,0.1133,69.69,69.39,1253.17,-4.96,1.3946,-0.0191,-0.0033,0.034
2026-01-01 01:32:30,164.53,0.2355,66.37,68.57,1151.52,8.82,7.1862,-1.8067,0.0017,0.0869
2026-01-01 01:33:00,164.82,0.2361,63.75,65.78,1207.84,8.85,0.9354,0.4695,0.0049,0.0564
2026-01-01 01:33:30,166.4,0.2064,62.13,69.51,1211.19,10.03,-6.1925,1.5306,0.0005,0.0889
2026-01-01 01:34:00,152.43,0.1867,66.06,68.84,1244.42,-4.01,-4.1005,-1.7351,0.0007,0.0455
2026-01-01 01:34:30,158.2,0.1633,65.87,66.04,1248.01,1.59,8.5262,-0.2744,-0.0016,0.045
2026-01-01 01:35:00,169.49,0.2239,64.99,68.29,1155.43,12.64,-1.9385,1.3871,0.0037,0.0859
2026-01-01 01:35:30,154.33,0.1974,68.09,68.81,1322.74,-2.42,-4.5656,-1.1056,-0.0014,0.036
2026-01-01 01:36:00,160.35,0.1975,63.25,66.08,1172.16,3.45,2.9515,-0.6126,0.0011,0.0336
2026-01-01 01:36:30,160.23,0.1368,66.33,67.58,1112.44,3.19,-3.347,-0.0328,-0.0031,0.0318
2026-01-01 01:37:00,153.66,0.1949,68.65,66.01,1252.95,-3.31,0.1214,-0.3908,-0.0006,0.0202
2026-01-01 01:37:30,160.47,0.1973,63.24,66.8,1190.98,3.23,0.5535,0.938,-0.001,0.0234
2026-01-01 01:38:00,154.77,0.1535,69.94,67.89,1167.47,-2.41,1.1323,-0.0427,-0.0046,0.018
2026-01-01 01:38:30,162.74,0.2294,68.91,66.72,1253.75,5.44,-0.5849,1.0516,-0.0014,0.0368
2026-01-01 01:39:00,153.6,0.1928,64.04,69.99,1223.22,-3.56,-0.6363,0.4441,0.0009,0.024
2026-01-01 01:39:30,161.46,0.2252,63.7,67.61,1212.15,4.29,-0.2725,-0.1406,0.0043,0.0258
2026-01-01 01:40:00,153.05,0.1274,61.54,69.71,1244.22,-4.11,-2.5611,1.3888,-0.0002,0.0385
2026-01-01 01:40:30,156.34,0.194,68.54,70.38,1211.31,-0.85,-1.0802,-0.5677,-0.0014,0.0104
2026-01-01 01:41:00,150.89,0.1674,69.64,68.57,1195.35,-6.34,5.128,0.4347,-0.0021,0.0591
2026-01-01 01:41:30,166.6,0.2144,65.07,71.25,1248.27,9.05,3.2331,0.3086,0.0007,0.0666
2026-01-01 01:42:00,157.36,0.1993,70.78,69.19,1174.39,-0.34,-1.7656,1.8598,0.0043,0.0147
2026-01-01 01:42:30,163.07,0.2134,68.84,74.97,1238.68,5.15,-1.1684,-0.0314,-0.0011,0.0342
2026-01-01 01:43:00,155.02,0.1743,62.35,69.13,1226.88,-2.84,-3.0825,-3.3481,-0.0031,0.0398
2026-01-01 01:43:30,156.9,0.1943,67.11,68.28,1179.62,-1.12,-1.1256,1.8457,-0.0006,0.0165
2026-01-01 01:44:00,152.77,0.1901,63.59,72.82,1165.81,-5.23,0.755,-0.8283,0.0002,0.0356
2026-01-01 01:44:30,158.41,0.2028,69.0,66.62,1228.69,0.36,6.0369,-3.3937,0.002,0.0378
2026-01-01 01:45:00,164.84,0.2321,68.5,66.03,1248.64,6.65,3.9026,2.6599,0.0004,0.0632
2026-01-01 01:45:30,166.22,0.2265,71.2,71.94,1250.2,7.77,-4.9269,0.502,0.0015,0.0669
2026-01-01 01:46:00,154.99,0.1617,65.91,67.04,1191.04,-3.2,-9.9778,-1.9339,-0.0018,0.066
2026-01-01 01:46:30,146.26,0.1307,68.89,68.07,1189.13,-11.92,1.1841,-0.172,-0.0003,0.0744
2026-01-01 01:47:00,157.36,0.2012,70.71,66.69,1090.06,-0.73,10.9298,-0.6518,0.0003,0.0512
2026-01-01 01:47:30,168.12,0.2409,69.38,66.77,1166.57,9.83,-0.0154,0.9258,0.0022,0.0598
2026-01-01 01:48:00,157.33,0.1882,72.93,68.54,1211.61,-1.01,-2.4216,-0.1802,0.0017,0.0157
2026-01-01 01:48:30,163.28,0.2132,65.0,66.41,1248.34,4.75,-1.3789,-1.0948,-0.0008,0.0363
2026-01-01 01:49:00,154.57,0.1834,68.35,66.35,1233.42,-3.86,-1.7864,-0.5764,-0.0005,0.0311
2026-01-01 01:49:30,159.71,0.2168,65.72,65.25,1251.83,1.23,7.1656,2.9716,-0.0004,0.0461
2026-01-01 01:50:00,168.9,0.263,70.21,72.3,1243.72,10.18,-1.619,0.6965,0.0068,0.0678
2026-01-01 01:50:30,156.47,0.1507,69.56,66.65,1209.32,-2.16,-3.6927,-1.0729,-0.0022,0.0307
2026-01-01 01:51:00,161.52,0.2345,59.85,70.15,1296.07,2.82,1.2267,0.6852,0.0034,0.023
2026-01-01 01:51:30,158.92,0.2003,63.02,68.02,1236.18,0.12,-3.6195,-3.1123,-0.0007,0.0253
2026-01-01 01:52:00,154.28,0.2124,69.61,63.93,1302.99,-4.45,-3.7385,-0.2629,0.0007,0.0416
2026-01-01 01:52:30,151.44,0.1563,67.0,67.49,1229.59,-7.09,6.4935,3.5701,-0.0029,0.0797
2026-01-01 01:53:00,167.26,0.264,76.09,71.07,1229.67,8.61,2.1024,1.3133,0.0045,0.0627
2026-01-01 01:53:30,155.65,0.187,64.49,70.12,1195.91,-2.88,-1.8364,-0.3491,-0.0004,0.0247
2026-01-01 01:54:00,163.59,0.1947,69.99,70.37,1243.76,4.98,4.5543,-1.5252,0.0002,0.0524
2026-01-01 01:54:30,164.76,0.2407,67.58,67.07,1295.43,5.84,-1.117,-1.1138,0.0019,0.0417
2026-01-01 01:55:00,161.36,0.2043,66.26,68.14,1256.75,2.19,-0.8809,1.5504,-0.0014,0.0207
